step,deepseek1.5b_sync_8gpu_lr3e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_lr1e-6-actor/pg_clipfrac_lower_step
52,0,0,1.962428155600333e-07,0,5.319058280812377e-07,0,3.814697265625e-06,0,8.634977068420715e-07,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,5.19404985815137e-07,0,0,0,8.548482743636294e-07,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,3.856310842012237e-07,0,0,0,0,0
59,0,0,0,0,0,0,4.682173918505819e-07,0,0,0,0,0
60,0,0,0,0,0,0,0,,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,2.94589006863624e-07,0,0,0,0,0,3.4005984674166383e-06,5.946010060142724e-07,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,2.6478939804185167e-06,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,2.393077326045247e-07,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,1.1955620493608876e-06,0,0,0,0,0,0,0,0,0
83,0,0,2.8571887365945843e-06,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,6.884548714548475e-07,0,0,0,0,0,0,0,0,0
87,0,0,3.8810282277530985e-06,0,0,0,0,0,0,0,0,0
88,0,0,3.1897963838543675e-06,0,0,0,0,0,0,0,0,0
89,0,0,1.0658253586370847e-06,0,0,0,0,0,0,0,0,0
90,0,0,2.150974023606977e-06,0,0,0,0,0,0,5.897784376429627e-07,0,0
91,0,0,1.1137703412613416e-05,0,0,0,0,0,0,0,0,0
92,0,0,1.302571793833825e-06,0,0,0,0,0,0,0,0,0
93,0,0,1.8548180075110088e-06,0,0,0,0,0,0,0,3.762567021545866e-07,0
94,0,0,1.047201588405117e-05,4.081765837327112e-07,0,0,0,0,0,0,0,0
95,0,0,2.6742056268796496e-05,0,0,0,0,0,0,0,0,0
96,0,0,1.3288925080045234e-05,0,0,0,0,0,0,0,0,0
97,0,0,1.8387330055702474e-05,0,0,0,0,0,0,0,0,0
98,0,0,5.2925081035937184e-06,0,0,0,0,0,0,0,0,0
99,0,0,4.1364931146543104e-06,0,0,0,0,0,0,0,3.633045014880952e-07,0
100,0,0,0,0,0,0,0,0,0,2.453867273288779e-07,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,2.695824719012308e-07,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,1.055396205629222e-05,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0
109,0,4.0540716757899834e-07,9.849041773469209e-07,0,0,0,0,0,0,0,0,0
110,0,3.558111051174102e-07,0,0,0,0,0,0,0,0,0,0
111,0,0,2.8363851325839135e-06,3.470371276697343e-07,0,0,0,0,0,0,0,0
112,0,3.765343665561106e-07,9.906797231451492e-07,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,1.5502276214233874e-06,0,0
114,0,0,0,0,0,0,0,0,0,0,3.1331618239554313e-07,0
115,0,0,3.0517578125e-07,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,1.2418544338288483e-06,0,0,0,0,0,0,0,3.4960536747045506e-07,0
118,0,0,1.6871859871672414e-06,0,0,0,0,0,0,0,3.7216558689024386e-07,0
119,0,0,7.016952750769306e-06,0,0,0,0,0,0,0,0,0
120,0,3.656649504272217e-07,0,0,0,0,0,0,0,0,0,0
121,0,0,9.517878005849482e-07,0,0,0,0,5.278658526159622e-07,0,0,0,0
122,0,4.12966478001585e-07,0,0,0,0,0,0,0,0,0,0
123,0,0,5.236590004642493e-07,3.7736988360848046e-07,0,0,0,0,0,0,0,0
124,0,3.324821818750934e-07,0,0,0,0,0,0,0,0,0,0
125,0,0,2.3875739835992657e-07,0,0,0,0,0,0,0,0,0
126,0,0,3.0967266646670487e-06,0,0,0,0,0,0,0,3.4010643255235423e-07,0
127,0,4.3424039083616566e-07,1.0845849898872143e-06,3.42803855346574e-07,2.468345883244183e-07,0,2.0027233297108014e-06,0,6.94637419655919e-07,1.0214691358739328e-06,0,0
128,0,0,1.8965254942789515e-07,0,0,0,1.4729585018358191e-06,0,0,0,0,0
129,0,3.282563056927757e-07,4.951532283874778e-07,0,0,0,0,0,0,0,0,0
130,0,4.12704685004428e-07,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,3.34552901111282e-07,0,0,6.157858933875104e-06,0,0,0,0,0
133,0,0,0,0,0,0,1.453332499985318e-06,0,0,0,0,0
134,0,0,9.167583306811546e-07,0,0,0,0,0,0,0,0,0
135,0,0,3.1782354199094697e-07,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,1.4204206308932044e-06,0,0,0,0,0,0,0,0,0
138,0,0,1.0594657169349375e-06,0,0,0,0,0,0,0,0,0
139,0,4.123697803343499e-07,2.682271599496744e-06,3.006094053356409e-07,0,0,0,0,0,0,0,0
140,0,0,0,0,2.567789670138154e-07,0,0,0,0,0,0,0
141,0,3.432717279886278e-07,0,0,0,0,0,0,0,0,0,0
142,0,0,9.98147470454569e-07,0,0,0,0,0,0,0,3.9175864956286253e-07,0
143,0,0,1.310123069663899e-06,0,0,0,3.572163490496357e-07,0,0,0,0,0
144,0,3.841048151355751e-07,0,0,0,3.911138719558949e-07,0,0,0,0,0,0
145,0,0,0,0,2.3049632056007303e-07,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,1.6764384359443544e-06,0,0,0,3.5127356628410984e-05,0,0,0,0,0
148,0,0,7.179781732702395e-07,0,0,0,0,0,0,0,6.604848665098638e-07,0
149,0,0,1.8855456026493033e-06,3.633045014880952e-07,2.1466855192197176e-06,0,0,0,2.238318136898505e-06,0,2.738237569809869e-07,0
150,0,0,1.209341982238194e-06,0,0,0,0,0,0,0,3.3158784600135937e-07,0
151,0,3.045319144370123e-07,4.669020069871164e-06,0,0,0,0,0,0,0,0,0
152,0,0,2.7247837611607136e-07,0,0,3.055039542232408e-07,0,0,0,3.280409509898163e-07,3.1052968552103266e-07,0
153,0,0,4.404749401550766e-06,0,0,3.633045014880952e-07,0,0,0,0,3.2286727053526026e-07,0
154,0,0,1.05380860603825e-06,0,0,0,0,0,0,0,0,0
155,0,0,9.132548375202443e-06,3.079121142945951e-07,0,0,0,0,0,0,0,0
156,0,0,2.82106231514428e-06,0,0,0,0,0,0,0,0,0
157,0,0,1.7220125098699807e-06,0,0,0,0,0,0,0,3.412093602409269e-07,0
158,0,0,0,0,0,3.626920620580529e-07,0,0,0,0,0,0
159,0,3.594432850409898e-07,0,0,0,0,0,0,0,0,3.611151251514161e-07,0
160,0,4.322671706975643e-07,8.485861022981796e-06,0,0,0,0,0,0,0,3.448542222692843e-07,0
161,0,0,6.763521014363505e-06,0,0,0,0,0,0,0,0,0
162,0,0,8.820263100359523e-06,0,0,0,0,0,0,0,3.507590398450183e-07,0
163,0,0,2.2543433588476833e-05,0,0,0,0,0,0,0,0,0
164,0,0,7.674361768295057e-07,0,0,0,0,0,0,0,0,0
165,0,0,7.889421794970984e-07,3.856156016243747e-07,0,0,0,0,0,0,7.343696779571474e-07,0
166,0,0,1.1309146949705399e-06,0,0,0,0,0,0,6.081659572979939e-07,3.7015103192640125e-07,0
167,0,0,1.3099406121751678e-06,0,0,2.5700282177157613e-07,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,2.393739281536039e-06,0,2.990598405567864e-06,0
169,0,2.1541681765787266e-06,3.5465473798640662e-06,0,0,0,0,0,0,0,0,0
170,0,0,6.696843534240649e-06,0,0,0,0,0,0,0,6.52953996096686e-07,0
171,0,0,4.228100700250555e-06,0,0,0,0,0,0,0,0,0
172,0,0,4.83171686331237e-06,0,0,0,0,0,0,0,0,0
173,0,0,1.0992371182216647e-05,0,0,0,0,0,0,0,0,0
174,0,0,3.1982927820910626e-06,3.906274547002146e-07,0,0,0,0,0,0,0,0
175,0,3.0318905702826784e-07,7.141650644371111e-06,0,0,0,0,0,0,0,0,0
176,0,0,7.604944812555914e-06,0,0,0,0,0,0,0,0,0
177,0,0,2.070243304691151e-05,0,0,2.8253184393092636e-07,0,0,0,0,0,0
178,0,0,6.582649196692121e-06,0,0,0,0,0,0,0,0,0
179,0,0,1.2228782211690594e-06,0,0,0,0,0,0,0,0,0
180,0,0,1.3485926256880002e-05,0,0,0,0,0,0,0,3.166015710081885e-07,0
181,0,2.757555739663076e-07,3.563905455473065e-05,0,0,0,0,0,0,0,0,0
182,0,0,1.913868749170433e-05,0,0,2.9902446927042633e-07,0,0,0,0,0,0
183,0,2.8982147341594096e-07,1.5701329402872943e-05,0,0,0,0,0,0,0,0,0
184,0,0,9.502061584498733e-06,0,0,0,0,0,0,7.107603530378335e-07,2.780026410288305e-07,0
185,3.4618941364377473e-07,0,1.5724367709811883e-05,0,0,0,0,0,0,6.28102828737941e-07,3.2094485504785545e-07,0
186,0,0,1.5537381851042177e-05,0,0,0,0,0,0,0,0,0
187,0,0,1.6758708452038087e-05,0,0,3.0691868839009356e-07,0,0,0,0,6.778309793646812e-07,0
188,0,0,3.655003752101038e-06,0,0,0,0,0,0,0,0,4.015470805921053e-07
189,0,0,5.24125772534427e-06,0,0,0,0,0,0,2.965613100019729e-07,3.170689717777311e-07,0
190,0,2.8841715902672146e-07,0,0,0,0,0,0,0,9.00408012967091e-07,5.765449107760409e-07,0
191,0,0,0,0,0,0,0,0,0,0,9.739652593085106e-07,0
192,0,0,5.170533465085707e-06,0,0,0,0,0,0,4.887251452601049e-07,6.260526864328616e-07,0
193,0,0,6.080907706536191e-06,0,0,3.660022064815911e-07,0,0,0,0,0,0
194,0,0,2.0308777190318025e-05,3.853671538915175e-07,0,0,0,0,0,5.345141668537204e-07,3.049621072738986e-07,0
195,0,2.2128749739803263e-07,2.391490698604078e-05,0,0,0,0,0,0,0,0,0
196,0,0,1.2099974680625434e-06,0,0,0,0,0,0,0,3.3933275618538677e-07,0
197,0,0,8.86273692443856e-06,0,0,0,0,0,0,2.945556616396061e-07,0,0
198,0,0,1.100408935599262e-05,0,0,0,0,0,1.687168238883411e-06,0,3.185232757955832e-07,3.438354533021706e-07
199,0,0,1.0884518511981394e-05,0,0,0,0,0,0,0,0,0
200,0,2.939406071023908e-07,2.8758877609410167e-05,0,0,3.708274479405107e-07,0,0,0,7.124130661395611e-07,0,0
201,0,0,2.8965296845247698e-05,0,0,0,0,0,0,5.781818072136957e-07,0,0
202,0,0,1.2460251404192212e-05,0,4.947673265373201e-07,0,0,0,0,6.033051628643685e-07,0,0
203,0,0,2.4971257942395045e-05,0,0,0,0,0,0,1.209806332949286e-06,0,0
204,0,0,0,0,2.7424308427725915e-07,3.2341861035754177e-07,0,0,2.811223007833737e-06,0,0,0
205,0,0,2.2559918306797044e-06,0,0,0,0,0,0,0,3.508594504224179e-07,0
206,0,0,3.1874745521539203e-06,0,0,3.5129332073583175e-07,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,8.767736395990746e-07,0,0
209,0,0,2.9354989395790693e-07,0,0,2.719093779226321e-07,0,0,0,1.5134490131854166e-06,1.0447344762228157e-06,4.420804002989285e-07
210,0,0,3.35696646895182e-06,0,0,0,0,0,0,1.2794068788934965e-06,0,0
211,0,0,5.097718258184614e-06,0,0,0,0,0,0,0,3.549805362788241e-07,0
212,0,0,1.939487992785871e-06,0,0,0,0,0,0,0,0,0
213,0,0,2.0044741025534068e-06,3.5658455420740537e-07,0,0,0,0,0,0,3.2043393124088954e-07,0
214,0,0,4.21812789378843e-06,0,0,0,0,0,0,0,0,0
215,0,0,3.063725444008014e-06,0,0,0,0,0,0,0,0,0
216,0,0,4.291685399948619e-06,0,0,0,0,0,0,0,0,0
217,0,0,5.693076582247158e-06,0,0,0,0,0,0,0,0,0
218,0,0,4.142639227211475e-06,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,7.30823194317054e-07,0,0
220,0,0,2.9502284416507576e-07,0,0,3.5485555959302325e-07,0,0,0,0,0,3.462220320216147e-07
221,0,0,2.9921486657258356e-06,0,0,0,0,0,0,0,3.09798565467645e-07,0
222,0,0,1.8684486979493574e-05,0,0,0,0,0,0,0,0,0
223,0,0,8.516097501515538e-06,0,0,0,0,0,0,0,3.1659195277219017e-07,0
224,0,0,0,0,0,3.809767631104305e-07,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,1.9256679993502427e-06,0,0
227,0,0,0,3.417429442461897e-07,0,0,0,0,0,2.717769499819649e-07,0,0
228,0,0,1.2747818150923457e-06,0,0,0,0,0,0,1.290878033622592e-06,0,0
229,0,0,2.41047606063408e-06,0,0,0,0,0,0,3.0691415986439097e-07,0,0
230,0,0,4.3523675685719354e-07,0,0,3.780318035172638e-07,0,0,0,0,0,0
231,0,0,3.936759943220143e-06,0,0,0,0,0,0,0,0,0
232,0,0,7.447373718605377e-06,0,0,0,0,0,0,0,0,7.329144625002396e-07
233,0,0,3.4231999459160236e-06,0,0,0,0,0,0,0,0,0
234,4.0267763037455123e-07,0,4.2360531605321307e-07,0,0,3.5901794862266717e-07,0,0,0,8.328669436094868e-07,0,0
235,0,0,5.476326017136065e-06,0,0,0,0,0,0,0,0,4.470608282166434e-07
236,0,2.8652242757811176e-07,4.9761933951231185e-06,0,0,0,0,0,0,0,0,0
237,0,2.3734387637146197e-07,9.57182692218339e-06,2.7775000085562674e-07,0,0,0,0,0,6.862927958453919e-07,0,0
238,0,0,0,0,0,0,0,0,0,6.917236780943561e-07,0,0
239,3.9129511042985886e-07,0,0,0,0,0,0,0,0,3.326095750145171e-07,0,0
240,0,0,2.0383648461574922e-06,0,0,0,0,0,0,0,8.855660856473454e-07,0
241,0,0,3.673580954455246e-06,0,0,0,0,0,0,0,2.870000410920886e-07,0
242,0,0,3.4652915322415843e-06,0,0,0,0,0,0,7.206272130133584e-07,6.214628047018776e-07,0
243,0,0,1.1533913089402226e-05,0,0,0,0,0,0,0,0,0
244,0,0,1.4509913247214474e-06,0,0,0,0,0,0,0,0,0
245,0,0,2.0987240532122087e-06,3.4679066051136365e-07,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,3.650487694054997e-06,0,0,0,0,0,0,0,0,0
248,0,0,6.670222319371533e-06,0,0,0,0,0,0,0,2.8194300774395316e-07,0
249,0,0,4.078198753632023e-06,0,0,0,0,0,0,0,0,0
250,3.111620117124403e-07,0,3.7796550767619487e-07,0,0,0,0,0,0,0,0,0
251,0,0,2.821415591824916e-06,0,0,0,0,0,0,0,0,0
252,0,0,2.8836760748163215e-06,2.961130989702228e-07,0,0,0,0,0,0,0,0
253,4.2837559703912116e-07,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,3.8146972656249997e-07,0,0,0,0,0,0,0,0
255,0,0,2.3018562842480605e-06,2.8103022486902773e-07,0,3.636596375145018e-07,0,0,0,0,0,0
256,0,2.0772746085703118e-07,1.8665074094315058e-06,0,0,3.466050678303703e-07,0,0,0,0,5.245452922719307e-07,0
257,0,0,3.1292480950166164e-06,0,0,3.885813152179295e-07,0,0,0,7.421921509376262e-07,2.679804075106168e-07,0
258,0,0,0,4.202895691311669e-07,0,0,0,0,0,0,2.6610125671679807e-07,0
259,0,0,0,0,0,0,0,0,0,0,2.6759948923427146e-07,0
260,0,1.9653469866232439e-07,0,0,0,0,0,0,0,0,2.780583050686269e-07,4.2385525173611103e-07
261,0,0,1.228139158878808e-06,0,0,0,0,0,0,1.0754749422156477e-06,0,0
262,0,0,1.9853874619002455e-06,0,0,0,0,0,0,1.5151661500567569e-06,2.753861980846313e-07,0
263,0,0,1.930203870870173e-06,0,0,0,0,0,0,8.579743532916633e-07,0,0
264,0,2.272148928265475e-07,2.0640687580453233e-06,3.463572834017361e-07,0,3.5730210418643593e-07,0,0,0,2.721201029919978e-07,0,0
265,0,0,0,0,0,0,0,0,0,1.4644930629539443e-06,0,0
266,4.011553301097592e-07,2.1122357265407878e-07,0,0,0,0,0,0,0,1.1129753329441881e-06,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,2.73606791830938e-07,0
270,3.481942631202774e-07,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,3.4679066051136365e-07,0,0,0,0,0,0,2.566028982713491e-07,0
272,0,0,0,3.4679066051136365e-07,0,0,0,0,0,0,5.653058871998065e-07,0
273,0,0,0,0,0,2.788759213052055e-07,0,0,0,8.648125407893935e-07,0,0
274,0,0,0,0,0,0,0,0,0,0,2.612952677602017e-07,0
275,0,0,0,0,2.566998591646552e-07,0,0,0,0,0,0,0
276,0,0,0,0,3.0059349088472885e-07,0,0,0,0,1.9707016918989873e-06,0,0
277,0,1.5416530053747968e-07,1.6094990628733371e-06,0,0,0,0,0,0,4.774310734016278e-06,0,0
278,0,0,0,0,0,3.5911802519371526e-07,0,0,0,2.2899412973250337e-06,2.718094415371834e-07,0
279,0,0,0,0,0,0,0,0,3.0517578125e-07,2.113963619194692e-06,2.8190995110960034e-07,0
280,0,1.762325671340993e-07,0,0,0,0,0,0,0,0,2.545430780392727e-07,0
281,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,2.615150265228295e-07,0,0,0,0,0,0,1.1049314400075442e-06,0,0
283,0,0,0,2.7781234993281856e-07,0,3.1326436555900733e-07,0,0,0,3.398385464000361e-06,2.698863041856653e-07,0
284,4.004703042460833e-07,4.0998659307278063e-07,0,0,0,0,0,0,0,8.379004783278832e-07,0,0
285,0,0,0,0,0,0,0,0,0,2.067318140082837e-06,0,0
286,0,1.495487164280157e-07,0,0,0,0,0,0,0,1.764106445989455e-06,2.569721680560659e-07,0
287,0,0,0,0,0,0,0,0,0,0,0,3.4382409443750453e-07
288,0,0,2.485336517565884e-07,0,0,3.1197353738652377e-07,0,0,0,3.0196592295238667e-07,0,0
289,0,0,0,0,0,0,0,0,0,9.050494958905295e-07,5.53913299161238e-07,0
290,3.1153424515650837e-07,0,0,0,0,0,0,0,0,0,0,0
291,0,2.594825230353775e-07,2.5432349502807484e-07,0,0,0,0,0,0,0,2.653995478693913e-07,0
292,0,5.446266956054246e-07,0,0,0,0,0,0,0,1.8561482875156798e-06,0,0
293,0,1.501220212000925e-07,0,0,0,0,0,0,0,2.889612163847271e-07,0,4.2976446550440145e-07
294,0,4.263906703272369e-07,1.2714105347792308e-06,3.4679066051136365e-07,0,3.353390948564567e-07,0,0,0,2.2965674361330458e-06,0,0
295,3.7424254312807324e-07,4.431391865288682e-07,1.337012842365463e-06,0,0,0,0,0,0,2.4849350415934165e-06,0,0
296,0,0,0,3.162459246855828e-07,0,0,0,0,0,0,2.3644015356076817e-07,0
297,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,3.2070493684191855e-06,0,0
299,0,0,1.5209857104846146e-06,0,0,3.222180945764801e-07,0,0,0,0,2.583787035190552e-07,0
300,0,1.445444304875146e-07,9.16314775167848e-07,0,0,0,0,0,0,1.932997861331387e-06,0,0
