step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/c_t_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/c_t_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/c_t_step
54,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
55,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
56,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
57,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
58,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
59,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
60,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
61,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
62,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
63,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
64,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
65,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
66,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
67,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
68,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
69,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
70,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
71,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
72,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
73,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
74,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
75,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
76,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
77,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
78,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
79,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
80,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
81,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
82,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
83,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
84,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
85,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
86,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
87,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
88,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
89,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
90,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
91,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
92,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
93,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
94,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
95,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
96,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
97,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,,0.00025
98,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
99,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
100,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
101,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
102,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
103,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
104,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
105,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
106,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
107,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
108,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
109,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
110,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
111,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
112,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
113,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
114,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
115,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
116,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
117,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
118,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
119,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
120,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
121,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
122,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
123,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
124,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
125,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
126,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
127,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
128,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
129,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
130,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
131,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
132,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
133,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
134,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
135,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
136,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
137,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
138,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
139,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
140,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
141,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
142,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
143,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
144,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
145,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
146,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
147,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
148,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
149,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
150,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
151,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
152,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
153,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
154,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
155,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
156,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
157,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
158,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
159,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
160,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
161,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
162,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
163,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
164,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
165,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
166,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
167,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
168,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
169,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
170,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
171,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
172,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
173,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
174,0.00025,7.42e-05,0.00025,5.9399999999999994e-05,7.42e-05,5.9399999999999994e-05,5.9399999999999994e-05,7.42e-05,0.00025
